_id,Neighborhood,Sector #,Pop. 1940,Pop. 1950,Pop. 1960,Pop. 1970,Pop. 1980,Pop. 1990,Pop. 2000,Pop. 2010,"% Pop. Change, 60-70","% Pop. Change, 70-80","% Pop. Change, 80-90","% Pop. Change, 90-00","% Pop. Change, 00-10",Pop. as % of City total (2010),Land Area (sq. mi),Land Area (acres),Persons / sq. mi (2010),Persons / sq. mi (2000),Persons / acre (2010),Persons / acre (2000),% African American (2010),% Asian (2010),% Other (2010),% White (2010),% 2+ Races (2010),% Hispanic (of any race) (2010),% Pop. Age < 5 (2010),% Pop. Age 5-19 (2010),% Pop. Age 20-34 (2010),% Pop. Age 35-59 (2010),% Pop. Age 60-74 (2010),% Pop. Age > 75 (2010)
1,Allegheny Center,3,4521,3862,2512,632,1586,1262,886,933,-0.74840764331210196669275092062889598309993743896484375,1.50949367088607999676241888664662837982177734375,-0.2042875157629260030045514895391534082591533660888671875,-0.29793977812995198206635905080474913120269775390625,0.05304740406320500312187249392081866972148418426513671875,0.00305197184204300010768040607445072964765131473541259765625,0.2099999999999999922284388276239042170345783233642578125,134.400000000000005684341886080801486968994140625,4442.8571428571403885143809020519256591796875,4219.047619047620173660106956958770751953125,6.94196428571428025833256469923071563243865966796875,6.5922619047618997711879273992963135242462158203125,0.4855305466237940237306247581727802753448486328125,0.06002143622722400095881312154233455657958984375,0.006430868167202999884091152438259086920879781246185302734375,0.408360128617362982961225270628347061574459075927734375,0.03969999999999999917843496177738416008651256561279296875,0.0290000000000000014710455076283324160613119602203369140625,0.041899999999999999744648704336213995702564716339111328125,0.2169999999999999984456877655247808434069156646728515625,0.275700000000000000621724893790087662637233734130859375,0.224299999999999999378275106209912337362766265869140625,0.1761000000000000065281113847959204576909542083740234375,0.065000000000000002220446049250313080847263336181640625
2,Allegheny West,3,3210,3313,2170,1124,820,654,508,462,-0.4820276497695850093094804833526723086833953857421875,-0.27046263345195697969103321156580932438373565673828125,-0.2024390243902439989742703119190991856157779693603515625,-0.2232415902140670038722447543477755971252918243408203125,-0.09055118110236200223983615842371364124119281768798828125,0.001511265799597000074327990404299271176569163799285888671875,0.1409999999999999864552790995730902068316936492919921875,90.2399999999999948840923025272786617279052734375,3276.59574468085020271246321499347686767578125,3602.83687943262020780821330845355987548828125,5.119680851063829862823695293627679347991943359375,5.629432624113480443384105456061661243438720703125,0.18181818181818198976174016934237442910671234130859375,0.0151515151515149992800246536717168055474758148193359375,0.006493506493506000405713241008243130636401474475860595703125,0.76623376623376604488413477156427688896656036376953125,0.030300000000000000544009282066326704807579517364501953125,0.0280000000000000005828670879282071837224066257476806640625,0,0,0.08369999999999999662492200513952411711215972900390625,0.68200000000000005062616992290713824331760406494140625,0.125500000000000000444089209850062616169452667236328125,0.10879999999999999393818228554664528928697109222412109375
3,Allentown,6,8227,7487,6416,5361,4292,3600,3220,2500,-0.1644326683291769952699468149148742668330669403076171875,-0.1994030964372320025024265532920253463089466094970703125,-0.161230195712953994213734176810248754918575286865234375,-0.10555555555555599933637012100007268600165843963623046875,-0.22360248447205000044135658754385076463222503662109375,0.0081778452359139996996617583135957829654216766357421875,0.294999999999999984456877655247808434069156646728515625,188.80000000000001136868377216160297393798828125,8474.57627118644086294807493686676025390625,10915.254237288099830038845539093017578125,13.2415254237288007033157555270008742809295654296875,17.0550847457626986169998417608439922332763671875,0.351200000000000012168044349891715683043003082275390625,0.0004000000000000000191686944095437183932517655193805694580078125,0.008000000000000000166533453693773481063544750213623046875,0.59399999999999997246646898929611779749393463134765625,0.0463999999999999968025576890795491635799407958984375,0.022999999999999999611421941381195210851728916168212890625,0.036600000000000000588418203051332966424524784088134765625,0.1484999999999999931166172473240294493734836578369140625,0.2411000000000000087485574340462335385382175445556640625,0.3529999999999999804600747665972448885440826416015625,0.1439999999999999891198143586734659038484096527099609375,0.07670000000000000428546087505310424603521823883056640625
5,Arlington Heights,7,2413,2860,2272,2037,1466,1497,238,244,-0.1034330985915490053184129237706656567752361297607421875,-0.280314187530681990789815927200834266841411590576171875,0.021145975443383001335373450046972720883786678314208984375,-0.84101536406145604995998610320384614169597625732421875,0.0252100840336129984609048193533453741110861301422119140625,0.000798157695024999977277679885645511603797785937786102294921875,0.13200000000000000621724893790087662637233734130859375,84.4800000000000039790393202565610408782958984375,1848.484848484850090244435705244541168212890625,1803.030303030300046884804032742977142333984375,2.888257575757580131181612159707583487033843994140625,2.817234848484849951688602232025004923343658447265625,0.84016393442623005238800715233082883059978485107421875,0,0.0163934426229510009365153422322691767476499080657958984375,0.09426229508196699857780487263880786485970020294189453125,0.049200000000000000677236045021345489658415317535400390625,0.008000000000000000166533453693773481063544750213623046875,0.041000000000000001720845688168992637656629085540771484375,0.392500000000000015543122344752191565930843353271484375,0.163800000000000001154631945610162802040576934814453125,0.307199999999999973088193883086205460131168365478515625,0.034099999999999998367972153801019885577261447906494140625,0.061400000000000003186340080674199271015822887420654296875
6,Banksville,5,1214,1328,2641,4927,3831,4769,4540,4144,0.8655812192351379774635233843582682311534881591796875,-0.222447736959610009588317325324169360101222991943359375,0.2448446880709999884384586721353116445243358612060546875,-0.0480184525057660016589267115705297328531742095947265625,-0.08722466960352399933942280085830134339630603790283203125,0.0135555962630519999390088514701346866786479949951171875,0.96899999999999997246646898929611779749393463134765625,620.1599999999999681676854379475116729736328125,4276.5737874097003441420383751392364501953125,4685.242518059860231005586683750152587890625,6.68214654282765962989287800155580043792724609375,7.3206914344685198869910891517065465450286865234375,0.040781853281852999126844139254899346269667148590087890625,0.050916988416988002985608119388416525907814502716064453125,0.005308880308879999898596935281602782197296619415283203125,0.8810328185328180072843906600610353052616119384765625,0.021999999999999998723243521681069978512823581695556640625,0.01400000000000000029143354396410359186120331287384033203125,0.028799999999999999211741652516138856299221515655517578125,0.1111999999999999932942529312640544958412647247314453125,0.251599999999999990318855225268634967505931854248046875,0.298200000000000020605739337042905390262603759765625,0.09160000000000000086597395920762210153043270111083984375,0.2184999999999999997779553950749686919152736663818359375
7,Bedford Dwellings,15,2663,3870,4915,3800,2878,2317,2109,1202,-0.2268565615462869999863215753066469915211200714111328125,-0.2426315789473680040178038552767247892916202545166015625,-0.1949270326615709925111019629184738732874393463134765625,-0.089771255934397997666707169628352858126163482666015625,-0.430061640587955984482704252513940446078777313232421875,0.0039319079894279997111627977801617817021906375885009765625,0.178999999999999992450483432548935525119304656982421875,114.56000000000000227373675443232059478759765625,6715.0837988826797300134785473346710205078125,11782.1229050278998329304158687591552734375,10.4923184357541998679153039120137691497802734375,18.40956703910610059438113239593803882598876953125,0.92013311148086496249476340381079353392124176025390625,0.0024958402662229998460186042308350806706584990024566650390625,0.0074875207986689999717366816867070156149566173553466796875,0.039933444259566998335575505052474909462034702301025390625,0.0299999999999999988897769753748434595763683319091796875,0.01600000000000000033306690738754696212708950042724609375,0.1912000000000000088373752760162460617721080780029296875,0.130500000000000004884981308350688777863979339599609375,0.140500000000000013766765505351941101253032684326171875,0.28010000000000001563194018672220408916473388671875,0.1696000000000000007549516567451064474880695343017578125,0.08809999999999999775734949025718378834426403045654296875
8,Beechview,5,10853,11994,14032,14360,11911,9311,8772,7974,0.0233751425313570015962483239491120912134647369384765625,-0.17054317548746500410317139539984054863452911376953125,-0.2182856183359919988173913907303358428180217742919921875,-0.057888518956073997667743924466776661574840545654296875,-0.09097127222982200056566881585240480490028858184814453125,0.02608405516447299954396754628760390914976596832275390625,1.45999999999999996447286321199499070644378662109375,934.3999999999999772626324556767940521240234375,5461.64383561643990105949342250823974609375,6008.219178082190410350449383258819580078125,8.533818493150679529435365111567080020904541015625,9.3878424657534207398157377610914409160614013671875,0.12076749435665899701231040808124816976487636566162109375,0.0156759468271879982836924938283118535764515399932861328125,0.027715073990468998277325596291120746172964572906494140625,0.80938048658138994628785667373449541628360748291015625,0.0264999999999999992505994583780193352140486240386962890625,0.056000000000000001165734175856414367444813251495361328125,0.0561999999999999999555910790149937383830547332763671875,0.1529999999999999971134201359745929948985576629638671875,0.23890000000000000124344978758017532527446746826171875,0.33179999999999998383515276145772077143192291259765625,0.12030000000000000415223411209808546118438243865966796875,0.09979999999999999982236431605997495353221893310546875
9,Beltzhoover,6,8407,8153,7064,5908,4206,3338,2783,1925,-0.16364665911664799669011927107931114733219146728515625,-0.288083953960730998478112496741232462227344512939453125,-0.2063718497384690042650845498428680002689361572265625,-0.1662672258837629979399963531250250525772571563720703125,-0.30830039525691699253684419090859591960906982421875,0.0062969408316540000092320639168974594213068485260009765625,0.420999999999999985345056074947933666408061981201171875,269.43999999999999772626324556767940521240234375,4572.4465558194797267788089811801910400390625,6610.4513064132997897104360163211822509765625,7.1444477434679303229358993121422827243804931640625,10.3288301662707997508050539181567728519439697265625,0.83324675324675301357757462028530426323413848876953125,0.00155844155844199992733134507716385996900498867034912109375,0.0187012987012989996549183757679202244617044925689697265625,0.09922077922077900125064076064518303610384464263916015625,0.047300000000000001765254609153998899273574352264404296875,0.0200000000000000004163336342344337026588618755340576171875,0.061800000000000000766053886991358012892305850982666015625,0.268299999999999982946974341757595539093017578125,0.1287000000000000088373752760162460617721080780029296875,0.291800000000000003819167204710538499057292938232421875,0.1297000000000000097255536957163712941110134124755859375,0.11980000000000000370814490224802284501492977142333984375
10,Bloomfield,12,20708,20074,16715,14411,11761,10405,9089,8442,-0.1378402632366139968222995548785547725856304168701171875,-0.1838873083061549895678155053246882744133472442626953125,-0.11529631834027699588407500641551450826227664947509765625,-0.126477654973569997309823520481586456298828125,-0.0711849488392559959226701948864501900970935821533203125,0.02761494779263599930185790753967012278735637664794921875,0.7019999999999999573674358543939888477325439453125,449.279999999999972715158946812152862548828125,12025.641025640999941970221698284149169921875,12947.2934472933993674814701080322265625,18.790064102564098647007995168678462505340576171875,20.230146011395998328907808172516524791717529296875,0.08753849798625899791826299178865156136453151702880859375,0.06420279554607899452634001136175356805324554443359375,0.01042407012556299979177953929365685326047241687774658203125,0.81568348732527795608149290274013765156269073486328125,0.0222000000000000009825473767932635382749140262603759765625,0.0259999999999999988065102485279567190445959568023681640625,0.03690000000000000224265050974281621165573596954345703125,0.0864999999999999935607064571740920655429363250732421875,0.40220000000000000195399252334027551114559173583984375,0.274699999999999999733546474089962430298328399658203125,0.125599999999999989430676805568509735167026519775390625,0.07399999999999999633626401873698341660201549530029296875
11,Bluff,15,9391,8949,5955,4379,4723,3220,6423,6600,-0.2646515533165409994609262867015786468982696533203125,0.07855674811600800444555403601043508388102054595947265625,-0.318229938598347972256163984638988040387630462646484375,0.99472049689441000008827131750877015292644500732421875,0.0275572162540870004010518101722482242621481418609619140625,0.0215895114228140012901935307354506221599876880645751953125,0.327000000000000012878587085651815868914127349853515625,209.280000000000001136868377216160297393798828125,20183.48623853209937806241214275360107421875,19642.20183486240057391114532947540283203125,31.53669724770639959388063289225101470947265625,30.690940366972501607278900337405502796173095703125,0.311666666666666980489708294044248759746551513671875,0.011060606060605999989565617624975857324898242950439453125,0.005757575757576000215209877097777280141599476337432861328125,0.6583333333333329928649391149519942700862884521484375,0.0131999999999999999278355033993648248724639415740966796875,0.024000000000000000499600361081320443190634250640869140625,0,0.31169999999999997708499677173676900565624237060546875,0.400799999999999989608312489508534781634807586669921875,0.247400000000000008792966355031239800155162811279296875,0.0350000000000000033306690738754696212708950042724609375,0.0051999999999999997613020497055913438089191913604736328125
